Campaign Name,UTM Medium,UTM Source,Account Industry,Oppt Close Date,Stage,Opportunity Amount,City,State/Province,Account Rating
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,Medical,3/30/2016,Forecast,"$3,887 ",Brownwood,TX,Prospect
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,Bryan,TX,
2016_00_InboundWeb_ContactUs,,,,,,,Bryan,TX,
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Lifestyle,2/26/2016,Closed Won,"$3,140 ",Asheville,NC,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,google,Lifestyle,,,,Monroe,CT,Cancelled
2016_00_InboundWeb_Request_A_Demo,cpc,google,Dental,9/2/2016,Lost,"$3,887 ",,,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Petaluma,CA,
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,Louisville,KY,
2016_00_InboundWeb_Request_A_Demo,,,Medical,10/14/2016,Lost,"$3,887 ",Santa Monica,CA,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,google,Medical,4/5/2016,Lost,"$3,887 ",Frederick,MD,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,Medical,,,,Glendale,CA,Lost
2016_00_InboundWeb_Request_A_Demo,cpc,google,Medical,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,,,,,,,Warrenton,VA,
2016_00_InboundWeb_Request_A_Demo,none,direct,Lifestyle,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,none,direct,Medical,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,Dental,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,,,,,,,
2016_00_InboundWeb_ContactUs,organic,www.bing.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,,,
2016_00_InboundWeb_Request_A_Demo,cpc,bing,,,,,Fort Collins,CO,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Automotive,3/14/2016,Closed Won,"$3,887 ",Dedham,MA,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,,,,,Tyler,TX,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,Delray Beach,FL,
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Flushing,NY,
2016_00_InboundWeb_Request_A_Demo,organic,search.yahoo.com,Medical,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,none,direct,Automotive,11/4/2016,Lost,"$3,887 ",,,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Small Business,10/20/2016,Closed Won,$249 ,White House,TN,Under Contract
2016_00_InboundWeb_Request_A_Demo,cpc,google,,,,,Naples,FL,
2016_00_InboundWeb_Request_A_Demo,referral,www.henryschein.com,Dental,,,,Neptune,NJ,Under Contract
2016_00_InboundWeb_InboundCall&Chat,,,,,,,,FL,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Santa Cruz,CA,
2016_09_Hotleads_EngagementPrograms,organic,www.google.com,,,,,Santa Cruz,CA,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,none,direct,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.ca,,,,,,,
2016_00_InboundWeb_Request_A_Demo,referral,www.intuit.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,Indianapolis,IN,
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,Automotive,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,,,,,Escondido,CA,
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,Medical,3/8/2016,Lost,"$3,289 ",Salt Lake City,UT,Cancelled
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,FL,
2016_00_InboundWeb_Request_A_Demo,,,Automotive,,,,,,Under Contract
2016_00_InboundWeb_Request_A_Demo,referral,www.weburlopener.com,Dental,,,,,,Lost
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,Medical,3/31/2016,Closed Won,"$3,887 ",Longview,WA,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.google.com,Medical,3/18/2016,Closed Won,"$3,588 ",Duluth,MN,Under Contract
2016_00_InboundWeb_Request_A_Demo,referral,napatracs.com,Automotive,2/24/2016,Closed Won,"$3,588 ",,,Under Contract
2016_00_InboundWeb_Request_A_Demo,organic,www.bing.com,Dental,8/22/2016,Lost,"$3,887 ",Peterborough,ON,Lost
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,Parkesburg,PA,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,Animal Care,,,,,,Prospect
2016_00_InboundWeb_Request_A_Demo,,,Dental,2/20/2016,Forecast,"$3,887 ",,,Prospect
2016_00_InboundWeb_Request_A_Demo,,,Lifestyle,2/29/2016,Closed Won,"$3,289 ",Winter Park,FL,Under Contract
2016_00_InboundWeb_Request_A_Demo,,,Animal Care,,,,,FL,Lost
2016_00_InboundWeb_Request_A_Demo,,,Lifestyle,11/11/2016,Lost,"$3,887 ",Oregon,illinois,Lost
2016_00_InboundWeb_Request_A_Demo,,,Dental,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,Automotive,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,Medical,3/22/2016,Forecast,"$3,887 ",Lago Vista,TX,Prospect
2016_00_InboundWeb_Request_A_Demo,,,,,,,Winchester,VA,
2016_00_InboundWeb_Request_A_Demo,,,,,,,Westport,CT,
2016_00_InboundWeb_Request_A_Demo,,,Dental,,,,,,Cancelled
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,,
2016_00_InboundWeb_Request_A_Demo,,,,,,,,CA,
